national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V94160_172;323012510;"https://www.openstreetmap.org/way/323012510";Avenue Gambetta;residential;50;
V94160_173;323012511;"https://www.openstreetmap.org/way/323012511";Avenue Gambetta;residential;30;
V94160_174;327440794;"https://www.openstreetmap.org/way/327440794";null;footway;null;
V94160_175;369166297;"https://www.openstreetmap.org/way/369166297";null;footway;null;
V94160_176;460941515;"https://www.openstreetmap.org/way/460941515";null;primary_link;50;
V94160_177;460941516;"https://www.openstreetmap.org/way/460941516";Rue du Parc;residential;30;
V94160_178_D-120;460941518;"https://www.openstreetmap.org/way/460941518";Avenue de Paris;primary;50;
V94160_179;460941520;"https://www.openstreetmap.org/way/460941520";null;service;null;
V94160_180;460941521;"https://www.openstreetmap.org/way/460941521";null;service;null;
V94160_181;460941523;"https://www.openstreetmap.org/way/460941523";null;service;null;
V94160_182;460941524;"https://www.openstreetmap.org/way/460941524";null;service;null;
V94160_183_D-120;517784075;"https://www.openstreetmap.org/way/517784075";Avenue de Paris;primary;50;
V94160_184_D-120;563735859;"https://www.openstreetmap.org/way/563735859";Avenue Gallieni;primary;30;
V94160_185_D-120;563735860;"https://www.openstreetmap.org/way/563735860";Avenue Gallieni;primary;50;
V94160_186;563735862;"https://www.openstreetmap.org/way/563735862";null;footway;null;
V94160_187;563735863;"https://www.openstreetmap.org/way/563735863";null;footway;null;
V94160_188;563735864;"https://www.openstreetmap.org/way/563735864";null;service;null;
V94160_189_D-158;584214159;"https://www.openstreetmap.org/way/584214159";Avenue du Général de Gaulle;secondary;30;
V94160_190_D-158;584214160;"https://www.openstreetmap.org/way/584214160";Avenue du Général de Gaulle;secondary;30;
V94160_191_D-158;584214161;"https://www.openstreetmap.org/way/584214161";Place du Général Leclerc;secondary;30;
V94160_192;597070607;"https://www.openstreetmap.org/way/597070607";Avenue Daumesnil;tertiary;50;
V94160_193;606386207;"https://www.openstreetmap.org/way/606386207";Avenue Courteline;cycleway;null;
V94160_194;624127760;"https://www.openstreetmap.org/way/624127760";Avenue Daumesnil;secondary;50;
V94160_195_D-158;624128334;"https://www.openstreetmap.org/way/624128334";Avenue de Saint-Maurice;secondary;50;
V94160_196;628777315;"https://www.openstreetmap.org/way/628777315";null;residential;50;
V94160_197_D-120;628777316;"https://www.openstreetmap.org/way/628777316";Avenue de Paris;primary;50;
V94160_198;637155763;"https://www.openstreetmap.org/way/637155763";Avenue Victor Hugo;service;null;
V94160_199;642575886;"https://www.openstreetmap.org/way/642575886";null;footway;null;
V94160_200;642575887;"https://www.openstreetmap.org/way/642575887";null;footway;null;
V94160_201;642575888;"https://www.openstreetmap.org/way/642575888";null;footway;null;
V94160_202;642575889;"https://www.openstreetmap.org/way/642575889";null;footway;null;
V94160_203;642583744;"https://www.openstreetmap.org/way/642583744";null;footway;null;
V94160_204;642583746;"https://www.openstreetmap.org/way/642583746";null;footway;null;
V94160_205;642583752;"https://www.openstreetmap.org/way/642583752";null;service;null;
V94160_206;642583753;"https://www.openstreetmap.org/way/642583753";null;service;null;
V94160_207;642583754;"https://www.openstreetmap.org/way/642583754";null;service;null;
V94160_208;642583755;"https://www.openstreetmap.org/way/642583755";null;service;null;
V94160_209;642583756;"https://www.openstreetmap.org/way/642583756";null;service;null;
V94160_210;642583758;"https://www.openstreetmap.org/way/642583758";null;service;30;
V94160_211;642583759;"https://www.openstreetmap.org/way/642583759";null;service;30;
V94160_212;642583760;"https://www.openstreetmap.org/way/642583760";null;service;null;
V94160_213;642583761;"https://www.openstreetmap.org/way/642583761";null;service;null;
V94160_214;669477271;"https://www.openstreetmap.org/way/669477271";null;service;null;
V94160_215;669477272;"https://www.openstreetmap.org/way/669477272";null;service;null;
V94160_216;669477273;"https://www.openstreetmap.org/way/669477273";null;footway;null;
V94160_217;669477274;"https://www.openstreetmap.org/way/669477274";null;service;null;
V94160_218;669477284;"https://www.openstreetmap.org/way/669477284";null;footway;null;
V94160_219;676568066;"https://www.openstreetmap.org/way/676568066";null;pedestrian;null;
V94160_220;685874378;"https://www.openstreetmap.org/way/685874378";null;service;null;
V94160_221;700090807;"https://www.openstreetmap.org/way/700090807";Route de la Ceinture du Lac Daumesnil;tertiary;30;
V94160_222;731082401;"https://www.openstreetmap.org/way/731082401";null;corridor;null;
V94160_223;731082403;"https://www.openstreetmap.org/way/731082403";null;steps;null;
V94160_224;731082405;"https://www.openstreetmap.org/way/731082405";null;corridor;null;
V94160_225;731082406;"https://www.openstreetmap.org/way/731082406";null;corridor;null;
V94160_226;731082407;"https://www.openstreetmap.org/way/731082407";null;corridor;null;
V94160_227;731082408;"https://www.openstreetmap.org/way/731082408";null;corridor;null;
V94160_228_D-237;752298282;"https://www.openstreetmap.org/way/752298282";Avenue des Minimes;tertiary;30;
V94160_229;752306070;"https://www.openstreetmap.org/way/752306070";Avenue Daumesnil;tertiary;50;
V94160_230;752306422;"https://www.openstreetmap.org/way/752306422";Avenue Daumesnil;secondary;50;
V94160_231_D-120;752307127;"https://www.openstreetmap.org/way/752307127";Avenue de Paris;primary;50;
V94160_232;779344047;"https://www.openstreetmap.org/way/779344047";null;cycleway;null;
V94160_233_D-120;800029865;"https://www.openstreetmap.org/way/800029865";Avenue de Paris;primary;50;
V94160_234;802711367;"https://www.openstreetmap.org/way/802711367";null;path;null;
V94160_235;855377837;"https://www.openstreetmap.org/way/855377837";null;service;30;
V94160_236;855377838;"https://www.openstreetmap.org/way/855377838";null;service;null;
V94160_237;855377839;"https://www.openstreetmap.org/way/855377839";null;service;null;
V94160_238;855377840;"https://www.openstreetmap.org/way/855377840";null;service;null;
V94160_239;855377841;"https://www.openstreetmap.org/way/855377841";null;service;null;
V94160_240;855377842;"https://www.openstreetmap.org/way/855377842";null;service;null;
V94160_241;858468885;"https://www.openstreetmap.org/way/858468885";null;corridor;null;
V94160_242;858468886;"https://www.openstreetmap.org/way/858468886";null;service;null;
V94160_243;858468887;"https://www.openstreetmap.org/way/858468887";null;service;null;
V94160_244;881990210;"https://www.openstreetmap.org/way/881990210";null;footway;null;
V94160_245;881990211;"https://www.openstreetmap.org/way/881990211";null;footway;null;
V94160_246;881990212;"https://www.openstreetmap.org/way/881990212";null;footway;null;
V94160_247;882034539;"https://www.openstreetmap.org/way/882034539";null;footway;null;
V94160_248;889550265;"https://www.openstreetmap.org/way/889550265";Avenue Gambetta;cycleway;null;
V94160_249;889550266;"https://www.openstreetmap.org/way/889550266";Avenue Gambetta;cycleway;null;
V94160_250;889550267;"https://www.openstreetmap.org/way/889550267";Avenue Gambetta;residential;30;
V94160_251_D-237;900142008;"https://www.openstreetmap.org/way/900142008";Avenue Foch;tertiary;50;
V94160_252;918378224;"https://www.openstreetmap.org/way/918378224";Avenue Daumesnil;cycleway;null;
V94160_253_D-120;933841109;"https://www.openstreetmap.org/way/933841109";Avenue de Paris;primary;50;
V94160_254;934313379;"https://www.openstreetmap.org/way/934313379";null;footway;null;
V94160_255;934313837;"https://www.openstreetmap.org/way/934313837";null;footway;null;
V94160_256;934314058;"https://www.openstreetmap.org/way/934314058";null;footway;null;
V94160_257;934314059;"https://www.openstreetmap.org/way/934314059";null;footway;null;
V94160_258;934314847;"https://www.openstreetmap.org/way/934314847";null;footway;null;
V94160_259;934316677;"https://www.openstreetmap.org/way/934316677";null;footway;null;
V94160_260;934316678;"https://www.openstreetmap.org/way/934316678";null;footway;null;
