national_ref;way_id;osm_link;name;highway_tag;speed_limit;
V75013_1864;320306111;"https://www.openstreetmap.org/way/320306111";null;footway;null;
V75013_1865;320306112;"https://www.openstreetmap.org/way/320306112";null;footway;null;
V75013_1866;320306113;"https://www.openstreetmap.org/way/320306113";null;footway;null;
V75013_1867;320306114;"https://www.openstreetmap.org/way/320306114";null;footway;null;
V75013_1868;320306115;"https://www.openstreetmap.org/way/320306115";null;footway;null;
V75013_1869;320306116;"https://www.openstreetmap.org/way/320306116";null;footway;null;
V75013_1870;320306117;"https://www.openstreetmap.org/way/320306117";null;footway;null;
V75013_1871;320306118;"https://www.openstreetmap.org/way/320306118";null;footway;null;
V75013_1872;320306119;"https://www.openstreetmap.org/way/320306119";null;footway;null;
V75013_1873;320306121;"https://www.openstreetmap.org/way/320306121";null;footway;null;
V75013_1874;320306123;"https://www.openstreetmap.org/way/320306123";null;footway;null;
V75013_1875;320306124;"https://www.openstreetmap.org/way/320306124";null;footway;null;
V75013_1876;320306125;"https://www.openstreetmap.org/way/320306125";null;footway;null;
V75013_1877;320306126;"https://www.openstreetmap.org/way/320306126";null;footway;null;
V75013_1878;320306127;"https://www.openstreetmap.org/way/320306127";null;footway;null;
V75013_1879;320306128;"https://www.openstreetmap.org/way/320306128";null;footway;null;
V75013_1880_EM-5;320306129;"https://www.openstreetmap.org/way/320306129";null;steps;null;
V75013_1881;320306130;"https://www.openstreetmap.org/way/320306130";null;footway;null;
V75013_1882;320306131;"https://www.openstreetmap.org/way/320306131";null;footway;null;
V75013_1883;320306132;"https://www.openstreetmap.org/way/320306132";null;footway;null;
V75013_1884;320306133;"https://www.openstreetmap.org/way/320306133";null;footway;null;
V75013_1885;320306134;"https://www.openstreetmap.org/way/320306134";null;footway;null;
V75013_1886;320306135;"https://www.openstreetmap.org/way/320306135";null;footway;null;
V75013_1887;320306136;"https://www.openstreetmap.org/way/320306136";null;footway;null;
V75013_1888;320306138;"https://www.openstreetmap.org/way/320306138";null;footway;null;
V75013_1889;320306139;"https://www.openstreetmap.org/way/320306139";null;footway;null;
V75013_1890;320306140;"https://www.openstreetmap.org/way/320306140";null;footway;null;
